edge_id,from_node,to_node,length_km,road_type,lanes,free_speed_kmh,is_market_road,base_travel_time_min,criticality_rho,is_highway,is_feeder
1,1,37,0.379,residential,1,26.5,False,0.86,0.3036,False,False
2,1,25,1.601,residential,1,25.8,False,3.73,0.0,False,False
3,1,20,1.161,residential,1,24.7,False,2.81,0.3155,False,False
4,1,40,1.556,residential,1,25.8,False,3.61,0.003,False,False
5,2,10,0.499,residential,1,24.9,False,1.21,0.0119,False,False
6,2,35,0.729,residential,1,26.3,False,1.66,0.0476,False,False
7,2,39,0.907,residential,1,25.0,False,2.18,0.0,False,False
8,2,23,1.673,residential,1,22.6,False,4.44,0.125,False,False
9,2,19,2.083,primary,2,41.1,False,3.04,0.0774,False,False
10,3,22,0.677,primary,2,40.8,False,0.99,0.1131,False,True
11,3,11,0.911,trunk,2,58.7,False,0.93,0.1131,True,False
12,3,34,1.441,residential,1,26.9,False,3.21,0.1161,False,True
13,3,32,1.694,primary,2,36.8,False,2.76,0.0446,False,True
14,3,13,2.057,primary,2,39.3,False,3.14,0.2024,False,True
15,4,7,0.952,primary,2,38.9,True,1.47,0.0298,False,False
16,4,8,0.874,primary,2,41.2,True,1.27,0.0833,False,True
17,4,16,1.069,residential,1,24.0,True,2.67,0.4167,False,True
18,4,5,1.351,residential,1,24.9,True,3.25,0.4821,False,True
19,4,27,1.754,primary,2,38.0,True,2.77,0.0833,False,False
20,5,4,1.131,residential,1,22.8,True,2.97,0.0506,False,True
21,5,23,1.438,primary,2,41.6,True,2.08,0.7292,False,True
22,5,8,1.25,trunk,2,59.4,True,1.26,0.1161,True,False
23,5,7,1.474,residential,1,24.6,True,3.6,0.1518,False,True
24,6,13,1.285,residential,1,25.9,True,2.98,0.1607,False,True
25,6,27,1.392,residential,1,25.3,True,3.31,0.1012,False,True
26,6,15,1.249,primary,2,39.0,True,1.92,0.0298,False,True
27,6,12,1.696,residential,1,24.9,True,4.1,0.0,False,True
28,7,4,0.929,residential,1,23.0,True,2.43,1.0,False,False
29,7,27,1.057,residential,1,23.4,True,2.71,0.0,False,False
30,7,12,1.055,residential,1,25.9,True,2.45,0.0119,False,False
31,7,26,1.428,residential,1,23.6,True,3.62,0.119,False,True
