edge_id,fuel_cost_MWK,maintenance_cost_MWK,wage_cost_MWK,total_cost_MWK,cost_per_km_MWK
1,561.15,27.29,7.31,595.75,1571.9
2,2433.83,115.27,31.7,2580.8,1611.99
3,1833.52,83.59,23.89,1941.0,1671.83
4,2355.53,112.03,30.68,2498.24,1605.55
5,789.52,35.93,10.29,835.74,1674.83
6,1083.15,52.49,14.11,1149.75,1577.16
7,1422.45,65.3,18.53,1506.28,1660.73
8,2897.1,120.46,37.74,3055.3,1826.24
9,1983.6,114.57,25.84,2124.01,1019.69
10,645.98,37.23,8.41,691.62,1021.6
11,424.78,34.62,7.91,467.31,512.96
12,2094.53,103.75,27.29,2225.57,1544.46
13,1800.9,93.17,23.46,1917.53,1131.95
14,2048.85,113.13,26.69,2188.67,1064.01
15,959.17,52.36,12.49,1024.02,1075.65
16,828.68,48.07,10.79,887.54,1015.49
17,1742.17,76.97,22.7,1841.84,1722.96
18,2120.62,97.27,27.62,2245.51,1662.11
19,1807.42,96.47,23.55,1927.44,1098.88
20,1937.92,81.43,25.25,2044.6,1807.78
21,1357.2,79.09,17.68,1453.97,1011.11
22,575.5,47.5,10.71,633.71,506.97
23,2349.0,106.13,30.6,2485.73,1686.38
24,1944.45,92.52,25.33,2062.3,1604.9
25,2159.78,100.22,28.14,2288.14,1643.78
26,1252.8,68.7,16.32,1337.82,1071.11
27,2675.25,122.11,34.85,2832.21,1669.94
28,1585.58,66.89,20.66,1673.13,1801.0
29,1768.28,76.1,23.04,1867.42,1766.72
30,1598.62,75.96,20.83,1695.41,1607.02
31,2362.05,102.82,30.77,2495.64,1747.65
32,1226.7,71.55,15.98,1314.23,1010.17
33,1807.42,86.04,23.55,1917.01,1604.19
34,1442.03,81.73,18.79,1542.55,1038.06
35,1846.58,97.02,24.05,1967.65,1115.45
36,3745.35,164.09,48.79,3958.23,1736.83
37,3432.15,159.77,44.71,3636.63,1638.86
38,776.47,34.78,10.12,821.37,1700.56
39,822.15,40.75,10.71,873.61,1543.48
40,828.68,34.85,10.79,874.32,1806.45
41,1722.6,80.78,22.44,1825.82,1627.29
42,1370.25,79.42,17.85,1467.52,1016.29
43,1937.92,110.0,25.25,2073.17,1036.59
44,469.8,27.34,6.12,503.26,1012.6
45,933.07,44.93,12.15,990.15,1586.78
46,2029.27,96.19,26.43,2151.89,1610.7
47,1872.68,102.58,24.39,1999.65,1072.2
48,1207.12,60.7,15.73,1283.55,1522.6
49,1305.0,59.33,17.0,1381.33,1676.37
50,2335.95,111.17,30.43,2477.55,1604.63
51,1787.85,100.32,23.29,1911.46,1047.95
52,3967.2,165.82,51.68,4184.7,1817.06
53,110.93,5.4,1.45,117.78,1570.4
54,234.9,14.13,3.06,252.09,980.89
55,1546.42,77.69,20.14,1644.25,1523.86
56,1494.22,81.9,19.46,1595.58,1071.58
57,2244.6,96.34,29.24,2370.18,1771.43
58,508.95,25.56,6.63,541.14,1524.34
59,1135.35,65.84,14.79,1215.98,1015.86
60,1337.62,71.94,17.42,1426.98,1090.96
61,2616.53,111.46,34.09,2762.08,1784.29
62,2818.8,124.34,36.72,2979.86,1725.45
63,1526.85,87.83,19.89,1634.57,1023.53
64,443.7,21.53,5.78,471.01,1575.28
65,1220.17,59.47,15.9,1295.54,1568.45
66,1148.4,51.62,14.96,1214.98,1694.53
67,2616.53,109.3,34.09,2759.92,1818.13
68,2218.5,119.18,28.9,2366.58,1092.1
69,2577.38,131.5,33.58,2742.46,1146.99
70,2238.08,99.29,29.16,2366.53,1716.12
71,634.88,52.02,11.81,698.71,510.38
72,2244.6,96.84,29.24,2370.68,1762.59
73,2055.38,87.77,26.77,2169.92,1780.08
74,1755.22,84.02,22.86,1862.1,1595.63
75,1657.35,80.06,21.59,1759.0,1581.83
76,1526.85,78.76,19.89,1625.5,1135.13
77,2962.35,124.13,38.59,3125.07,1812.69
78,2453.4,106.92,31.96,2592.28,1745.64
79,1027.68,83.83,19.12,1130.63,512.52
80,2225.03,128.92,28.98,2382.93,1016.61
81,1115.77,48.82,14.54,1179.13,1739.13
82,1135.35,47.23,14.79,1197.37,1825.26
83,1161.45,59.4,15.13,1235.98,1144.43
84,1331.1,60.98,17.34,1409.42,1664.01
85,1396.35,59.98,18.19,1474.52,1770.13
86,1813.95,85.39,23.63,1922.97,1621.39
87,1383.3,75.79,18.02,1477.11,1071.92
88,2061.9,124.02,26.86,2212.78,981.28
89,430.65,21.38,5.61,457.64,1540.88
90,874.35,41.69,11.39,927.43,1601.78
91,1167.97,69.8,15.21,1252.98,987.38
92,2349.0,114.84,30.6,2494.44,1563.91
93,1742.17,93.45,22.7,1858.32,1093.77
94,2322.9,118.58,30.26,2471.74,1146.45
95,404.55,22.05,5.27,431.87,1076.98
96,371.93,22.22,4.84,398.99,987.6
97,443.7,26.07,5.78,475.55,1003.27
98,2205.45,106.2,28.73,2340.38,1586.7
99,1592.1,83.82,20.74,1696.66,1113.29
100,2042.33,103.25,26.61,2172.19,1514.78
101,332.78,19.03,4.33,356.14,1029.31
102,1442.03,62.71,18.79,1523.53,1749.17
103,5350.5,232.99,69.7,5653.19,1746.97
104,3242.92,182.1,42.24,3467.26,1047.19
105,1658.0,126.73,30.86,1815.59,544.4
106,1057.05,44.5,13.77,1115.32,1804.72
107,1990.12,99.86,25.92,2115.9,1525.52
108,2518.65,114.7,32.81,2666.16,1673.67
109,2172.83,126.28,28.3,2327.41,1013.68
110,2636.1,111.89,34.34,2782.33,1790.43
111,1761.75,88.92,22.95,1873.62,1517.1
112,3334.28,154.58,43.44,3532.3,1645.23
113,3888.9,185.4,50.66,4124.96,1601.93
114,3295.12,161.57,42.92,3499.61,1559.54
115,2825.33,155.59,36.8,3017.72,1066.71
116,920.02,47.3,11.98,979.3,1138.72
117,2701.35,120.89,35.19,2857.43,1701.86
118,2610.0,131.76,34.0,2775.76,1516.81
119,3184.2,134.21,41.48,3359.89,1802.52
120,3184.2,144.14,41.48,3369.82,1683.23
121,711.23,31.18,9.27,751.68,1735.98
122,926.55,44.57,12.07,983.19,1588.35
123,1259.32,60.7,16.41,1336.43,1585.33
124,874.35,48.18,11.39,933.92,1066.12
125,1291.95,72.88,16.83,1381.66,1042.76
126,2003.17,101.09,26.09,2130.35,1517.34
127,2042.33,94.54,26.61,2163.48,1647.74
128,1500.75,85.3,19.55,1605.6,1035.2
129,2218.5,104.76,28.9,2352.16,1616.6
130,2159.78,101.81,28.14,2289.73,1619.33
131,2257.65,94.39,29.41,2381.45,1816.51
132,2349.0,116.35,30.6,2495.95,1544.52
133,84.83,4.29,1.1,90.22,1156.67
134,437.18,20.59,5.7,463.47,1620.52
135,1552.95,78.48,20.23,1651.66,1515.28
136,2368.57,104.9,30.86,2504.33,1718.83
137,704.7,36.41,9.18,750.29,1133.37
138,1285.42,60.05,16.75,1362.22,1633.36
139,1220.17,73.64,15.9,1309.71,978.13
140,1559.48,86.08,20.32,1665.88,1064.46
141,528.53,22.54,6.89,557.96,1782.62
142,1807.42,90.94,23.55,1921.91,1521.7
143,5128.65,234.43,66.81,5429.89,1667.66
144,4423.95,226.66,57.63,4708.24,1142.5
145,6707.7,339.26,87.38,7134.34,1514.08
146,1344.15,64.51,17.51,1426.17,1591.71
147,1618.2,70.56,21.08,1709.84,1744.73
148,2792.7,149.76,36.38,2978.84,1093.96
149,4241.25,205.06,55.25,4501.56,1580.6
150,1689.97,98.28,22.02,1810.27,1013.02
151,3425.63,158.11,44.62,3628.36,1652.26
152,2890.57,164.39,37.66,3092.62,1034.67
153,2642.62,137.67,34.42,2814.71,1124.53
154,5213.48,245.52,67.92,5526.92,1620.8
155,2805.75,146.3,36.55,2988.6,1123.53
156,1318.05,62.35,17.17,1397.57,1613.82
157,1167.97,68.8,15.21,1251.98,1000.78
158,2290.27,114.12,29.83,2434.22,1535.79
159,2251.13,131.45,29.33,2411.91,1009.17
160,1260.63,100.59,23.46,1384.68,523.11
161,1794.38,82.3,23.38,1900.06,1662.34
162,2303.32,100.3,30.0,2433.62,1747.04
163,1611.68,83.93,21.0,1716.61,1124.91
164,1827.0,105.44,23.8,1956.24,1020.47
165,717.75,32.9,9.35,760.0,1663.02
166,1037.48,54.73,13.52,1105.73,1111.29
167,1226.7,65.73,15.98,1308.41,1094.9
168,1566.0,81.18,20.4,1667.58,1129.8
169,1122.3,47.81,14.62,1184.73,1784.23
170,2198.93,92.88,28.64,2320.45,1798.8
171,2022.75,93.31,26.35,2142.41,1653.09
172,3014.55,124.78,39.27,3178.6,1834.16
173,2981.93,171.0,38.84,3191.77,1026.62
174,437.18,19.94,5.7,462.82,1670.83
175,593.78,27.22,7.74,628.74,1663.33
176,867.83,46.25,11.3,925.38,1100.33
177,1735.65,79.99,22.61,1838.25,1654.59
178,1363.72,75.95,17.77,1457.44,1055.35
