edge_id,gamma,reliability_class,phi_braess,vulnerability_class
1,0.4,low,0.0,standard
2,0.4,low,0.0,standard
3,0.4,low,0.0,standard
4,0.4,low,0.0,standard
5,0.4,low,0.0,standard
6,0.4,low,0.0,standard
7,0.4,low,0.0,standard
8,0.4,low,0.0,standard
9,0.25,medium,0.0,standard
10,0.25,medium,0.419,feeder
11,0.25,medium,0.0,highway
12,0.4,low,0.678,feeder
13,0.25,medium,0.579,feeder
14,0.25,medium,0.519,feeder
15,0.375,low,0.0,standard
16,0.375,low,0.32,feeder
17,0.6,low,0.32,feeder
18,0.6,low,0.276,feeder
19,0.375,low,0.0,standard
20,0.6,low,0.64,feeder
21,0.375,low,0.521,feeder
22,0.375,low,0.0,highway
23,0.6,low,0.569,feeder
24,0.6,low,0.259,feeder
25,0.6,low,0.686,feeder
26,0.375,low,0.625,feeder
27,0.6,low,0.346,feeder
28,0.6,low,0.0,standard
29,0.6,low,0.0,standard
30,0.6,low,0.0,standard
31,0.6,low,0.332,feeder
32,0.375,low,0.0,standard
33,0.6,low,0.333,feeder
34,0.375,low,0.387,feeder
35,0.25,medium,0.486,feeder
36,0.6,low,0.444,feeder
37,0.4,low,0.381,feeder
38,0.4,low,0.0,standard
39,0.4,low,0.0,standard
40,0.4,low,0.0,standard
41,0.4,low,0.0,standard
42,0.25,medium,0.0,standard
43,0.25,medium,0.0,standard
44,0.25,medium,0.0,standard
45,0.4,low,0.0,standard
46,0.4,low,0.0,standard
47,0.25,medium,0.0,standard
48,0.4,low,0.525,feeder
49,0.4,low,0.313,feeder
50,0.4,low,0.381,feeder
51,0.25,medium,0.415,feeder
52,0.4,low,0.455,feeder
53,0.6,low,0.0,standard
54,0.375,low,0.0,standard
55,0.4,low,0.0,standard
56,0.25,medium,0.603,feeder
57,0.6,low,0.0,standard
58,0.6,low,0.0,standard
59,0.375,low,0.34,feeder
60,0.25,medium,0.0,standard
61,0.6,low,0.481,feeder
62,0.4,low,0.517,feeder
63,0.25,medium,0.0,standard
64,0.4,low,0.0,standard
65,0.4,low,0.0,standard
66,0.4,low,0.0,standard
67,0.4,low,0.0,standard
68,0.25,medium,0.0,standard
69,0.25,medium,0.0,standard
70,0.6,low,0.271,feeder
71,0.375,low,0.0,highway
72,0.6,low,0.523,feeder
73,0.6,low,0.327,feeder
74,0.6,low,0.279,feeder
75,0.6,low,0.677,feeder
76,0.375,low,0.685,feeder
77,0.4,low,0.614,feeder
78,0.4,low,0.387,feeder
79,0.25,medium,0.0,highway
80,0.375,low,0.294,feeder
81,0.4,low,0.0,standard
82,0.4,low,0.0,standard
83,0.25,medium,0.0,standard
84,0.4,low,0.0,standard
85,0.4,low,0.0,standard
86,0.4,low,0.0,standard
87,0.25,medium,0.0,standard
88,0.25,medium,0.0,standard
89,0.4,low,0.0,standard
90,0.4,low,0.0,standard
91,0.25,medium,0.0,standard
92,0.4,low,0.0,standard
93,0.25,medium,0.0,standard
94,0.25,medium,0.0,standard
95,0.25,medium,0.0,standard
96,0.25,medium,0.0,standard
97,0.25,medium,0.0,standard
98,0.4,low,0.0,standard
99,0.25,medium,0.0,standard
100,0.4,low,0.0,standard
101,0.25,medium,0.558,feeder
102,0.4,low,0.448,feeder
103,0.4,low,0.305,feeder
104,0.25,medium,0.473,feeder
105,0.225,medium,0.0,highway
106,0.4,low,0.265,feeder
107,0.4,low,0.659,feeder
108,0.4,low,0.0,standard
109,0.25,medium,0.0,standard
110,0.6,low,0.366,feeder
111,0.4,low,0.0,standard
112,0.4,low,0.0,standard
113,0.6,low,0.548,feeder
114,0.4,low,0.0,standard
115,0.25,medium,0.0,standard
116,0.25,medium,0.0,standard
117,0.4,low,0.0,standard
118,0.4,low,0.0,standard
119,0.4,low,0.0,standard
120,0.4,low,0.0,standard
121,0.4,low,0.0,standard
122,0.4,low,0.0,standard
123,0.4,low,0.0,standard
124,0.25,medium,0.0,standard
125,0.25,medium,0.0,standard
126,0.4,low,0.0,standard
127,0.4,low,0.39,feeder
128,0.25,medium,0.484,feeder
129,0.6,low,0.496,feeder
130,0.4,low,0.333,feeder
131,0.4,low,0.686,feeder
132,0.4,low,0.599,feeder
133,0.375,low,0.0,standard
134,0.6,low,0.0,standard
135,0.4,low,0.0,standard
136,0.6,low,0.0,standard
137,0.25,medium,0.0,standard
138,0.4,low,0.0,standard
139,0.25,medium,0.0,standard
140,0.25,medium,0.0,standard
141,0.4,low,0.673,feeder
