incident_id,severity,priority,vehicle,origin_node,dest_node,call_time_h,depart_hour,arrival_hour,travel_time_min,f1,f2,f3,pareto_size,uses_highway,uses_feeder,path
INC_006,critical,1,AMB_03,3,6,17.98,17.98,18.1657,11.14,15.0331,26.9019,0.0595,6,False,True,3 → 34 → 6
INC_004,critical,1,AMB_01,1,37,21.17,21.17,21.2743,6.26,10.2035,2.6144,0.0536,5,False,False,1 → 40 → 37
INC_001,critical,1,AMB_01,37,26,23.2,23.2,23.273,4.38,7.1322,3.3907,0.3438,1,False,True,37 → 26
INC_002,urgent,2,AMB_02,2,23,0.13,0.13,0.2093,4.76,8.0522,1.904,0.0551,4,False,False,2 → 35 → 23
INC_012,urgent,2,AMB_02,23,23,7.77,7.77,7.77,0.0,0.0,0.0,0.0,1,False,False,23
INC_015,urgent,2,AMB_05,2,19,10.62,10.62,10.6808,3.65,5.774,1.3154,0.0387,3,False,False,2 → 19
INC_008,urgent,2,AMB_03,6,15,16.12,18.619033333333334,18.699,4.8,6.1378,18.2812,0.0149,1,False,True,6 → 15
INC_007,urgent,2,AMB_01,26,36,16.42,23.558,23.6073,2.96,4.8177,1.3658,0.5565,3,False,True,26 → 12 → 36
INC_011,moderate,3,AMB_01,36,12,6.08,23.8723,23.8856,0.8,1.2628,0.6843,0.003,1,False,False,36 → 12
INC_014,moderate,3,AMB_01,12,21,7.05,24.083933333333334,24.3839,18.0,30.4769,8.6645,1.1547,6,False,True,12 → 27 → 36 → 7 → 4 → 8 → 31 → 30 → 21
INC_009,moderate,3,AMB_03,15,15,9.37,18.942333333333334,18.942333333333334,0.0,0.0,0.0,0.0,1,False,False,15
INC_003,moderate,3,AMB_03,15,34,10.8,19.08566666666667,19.1543,4.12,6.4865,4.5332,0.0089,1,False,True,15 → 34
INC_005,moderate,3,AMB_02,23,2,17.35,17.35,17.4678,7.07,10.1283,7.2356,0.1071,3,False,False,23 → 35 → 2
INC_013,moderate,3,AMB_01,21,29,18.62,24.6139,24.6224,0.51,0.8661,0.1986,0.0015,1,False,True,21 → 29
INC_010,minor,4,AMB_05,19,19,11.02,11.02,11.02,0.0,0.0,0.0,0.0,1,False,False,19
