edge_id,from_node,to_node,time_period,start_hour,end_hour,base_travel_time_min,congestion_multiplier,actual_travel_time_min
1,1,37,night,0,6,0.86,1.0,0.86
1,1,37,morning_peak,6,9,0.86,1.5,1.29
1,1,37,midday,9,15,0.86,1.2,1.03
1,1,37,evening_peak,15,19,0.86,1.6,1.38
1,1,37,late_evening,19,24,0.86,1.1,0.95
2,1,25,night,0,6,3.73,1.0,3.73
2,1,25,morning_peak,6,9,3.73,1.5,5.59
2,1,25,midday,9,15,3.73,1.2,4.48
2,1,25,evening_peak,15,19,3.73,1.6,5.97
2,1,25,late_evening,19,24,3.73,1.1,4.1
3,1,20,night,0,6,2.81,1.0,2.81
3,1,20,morning_peak,6,9,2.81,1.5,4.21
3,1,20,midday,9,15,2.81,1.2,3.37
3,1,20,evening_peak,15,19,2.81,1.6,4.5
3,1,20,late_evening,19,24,2.81,1.1,3.09
4,1,40,night,0,6,3.61,1.0,3.61
4,1,40,morning_peak,6,9,3.61,1.5,5.42
4,1,40,midday,9,15,3.61,1.2,4.33
4,1,40,evening_peak,15,19,3.61,1.6,5.78
4,1,40,late_evening,19,24,3.61,1.1,3.97
5,2,10,night,0,6,1.21,1.0,1.21
5,2,10,morning_peak,6,9,1.21,1.5,1.81
5,2,10,midday,9,15,1.21,1.2,1.45
5,2,10,evening_peak,15,19,1.21,1.6,1.94
5,2,10,late_evening,19,24,1.21,1.1,1.33
6,2,35,night,0,6,1.66,1.0,1.66
6,2,35,morning_peak,6,9,1.66,1.5,2.49
6,2,35,midday,9,15,1.66,1.2,1.99
6,2,35,evening_peak,15,19,1.66,1.6,2.66
6,2,35,late_evening,19,24,1.66,1.1,1.83
7,2,39,night,0,6,2.18,1.0,2.18
7,2,39,morning_peak,6,9,2.18,1.5,3.27
7,2,39,midday,9,15,2.18,1.2,2.62
7,2,39,evening_peak,15,19,2.18,1.6,3.49
7,2,39,late_evening,19,24,2.18,1.1,2.4
8,2,23,night,0,6,4.44,1.0,4.44
8,2,23,morning_peak,6,9,4.44,1.5,6.66
8,2,23,midday,9,15,4.44,1.2,5.33
8,2,23,evening_peak,15,19,4.44,1.6,7.1
8,2,23,late_evening,19,24,4.44,1.1,4.88
9,2,19,night,0,6,3.04,1.0,3.04
9,2,19,morning_peak,6,9,3.04,1.5,4.56
9,2,19,midday,9,15,3.04,1.2,3.65
9,2,19,evening_peak,15,19,3.04,1.6,4.86
9,2,19,late_evening,19,24,3.04,1.1,3.34
10,3,22,night,0,6,0.99,1.0,0.99
10,3,22,morning_peak,6,9,0.99,1.5,1.48
10,3,22,midday,9,15,0.99,1.2,1.19
10,3,22,evening_peak,15,19,0.99,1.6,1.58
10,3,22,late_evening,19,24,0.99,1.1,1.09
11,3,11,night,0,6,1.26,1.0,0.93
